Rank,Player,Club,Nationality,Stat
1.,William Saliba,Arsenal,France,18
2.,David Raya,Arsenal,Spain,16
3.,Gabriel Magalhães,Arsenal,Brazil,15
4.,Jordan Pickford,Everton,England,13
4.,James Tarkowski,Everton,England,13
4.,Ben White,Arsenal,England,13
4.,Martin Ødegaard,Arsenal,Norway,13
8.,Jarrad Branthwaite,Everton,England,12
9.,Manuel Akanji,Manchester City,Switzerland,11
9.,James Garner,Everton,England,11
