Rank,Player,Club,Nationality,Stat
1.,Erling Haaland,Manchester City,Norway,27
2.,Cole Palmer,Chelsea,England,22
3.,Alexander Isak,Newcastle United,Sweden,21
4.,Phil Foden,Manchester City,England,19
4.,Dominic Solanke,Bournemouth,England,19
4.,Ollie Watkins,Aston Villa,England,19
7.,Mohamed Salah,Liverpool,Egypt,18
8.,Son Heung-Min,Tottenham Hotspur,South Korea,17
9.,Jarrod Bowen,West Ham United,England,16
9.,Jean-Philippe Mateta,Crystal Palace,France,16
