Rank,Player,Club,Nationality,Stat
1.,Ollie Watkins,Aston Villa,England,13
2.,Cole Palmer,Chelsea,England,11
3.,Kevin De Bruyne,Manchester City,Belgium,10
3.,Morgan Gibbs-White,Nottingham Forest,England,10
3.,Anthony Gordon,Newcastle United,England,10
3.,Pascal Groﬂ,Brighton & Hove Albion,Germany,10
3.,Brennan Johnson,Tottenham Hotspur,Wales,10
3.,Mohamed Salah,Liverpool,Egypt,10
3.,Son Heung-Min,Tottenham Hotspur,South Korea,10
3.,Kieran Trippier,Newcastle United,England,10
